model,soln1,soln2,gen_1,gen_2,gen_3
human,0.8317567103702791,0.8276286866277478,,,
gemma,,,0.4649798449422268,0.4588026170777089,0.47861846401794067
llama,,,0.42319903439940854,0.42644674885570855,0.42575414652628285
qwen,,,0.36075009804670694,0.3822791737480904,0.38776055239009305
