model,generation,pass_rate
gemma,gen_1,0.4649798449422268
gemma,gen_2,0.4588026170777089
gemma,gen_3,0.47861846401794067
human,soln1,0.8317567103702791
human,soln2,0.8276286866277478
llama,gen_1,0.42319903439940854
llama,gen_2,0.42644674885570855
llama,gen_3,0.42575414652628285
qwen,gen_1,0.36075009804670694
qwen,gen_2,0.3822791737480904
qwen,gen_3,0.38776055239009305
