tag,mean_pass_rate,n
probabilities,0.06544205495818399,12
trees,0.24143583297310003,32
dfs and similar,0.26070028198352746,34
constructive algorithms,0.2856138638341971,74
graphs,0.30158371234945863,44
dp,0.30188662149708195,92
geometry,0.3136536230653878,15
combinatorics,0.3540253260992689,22
number theory,0.37197109169469117,28
divide and conquer,0.3893939393939394,11
binary search,0.39898231380068117,51
greedy,0.41329719564101053,116
math,0.42308686448536575,110
dsu,0.4308842539439554,15
shortest paths,0.4329729158658763,10
bitmasks,0.4414186154385727,23
data structures,0.444264256895217,68
brute force,0.49943475249611746,82
implementation,0.531182399685956,147
sortings,0.5328338820968188,53
two pointers,0.5384499494432972,25
strings,0.5933872348097755,33
