tag,mean_pass_rate,n
probabilities,0.11464157706093188,10
trees,0.16975858854740844,33
dfs and similar,0.2068817719953046,38
constructive algorithms,0.21358357591003618,79
games,0.2243023868023868,11
graphs,0.23432104178881402,52
dp,0.2513940771697377,98
data structures,0.2527670067792892,67
divide and conquer,0.28133503401360543,14
bitmasks,0.303888243164459,24
binary search,0.30990631731522517,51
dsu,0.3197744723490992,18
greedy,0.3256672715574798,117
combinatorics,0.334665766555787,23
math,0.3534535843913109,109
geometry,0.36176225657194516,17
number theory,0.42568209870132956,29
sortings,0.4456117925659727,51
brute force,0.48101693373041987,88
implementation,0.48213399956822783,146
two pointers,0.49616971748327926,24
strings,0.5182081697783059,34
