tag,mean_pass_rate,n
probabilities,0.1318181818181818,11
constructive algorithms,0.2431095571736604,79
trees,0.25587414261770963,35
dsu,0.27838680139757704,19
games,0.27842179217179214,11
dfs and similar,0.3077330955474836,39
graphs,0.3112281960754782,55
dp,0.31967232968923737,96
geometry,0.3377472201001613,14
shortest paths,0.3466278016422664,11
two pointers,0.41080892562955185,26
data structures,0.41660704890651773,69
number theory,0.43005340132594067,29
divide and conquer,0.4333333333333333,14
combinatorics,0.43584620192795176,21
math,0.444608233033792,108
greedy,0.44764060411417567,113
binary search,0.4528421841128611,51
bitmasks,0.4743822974614953,24
sortings,0.5101120378178338,53
implementation,0.5322928863155615,141
brute force,0.5582679033891931,83
strings,0.6073364906800501,34
