model,soln1,soln2,gen_1,gen_2,gen_3
human,0.6016451233842538,0.5959715639810427,,,
gemma,,,0.5637583892617449,0.5635135135135135,0.5431606905710491
llama,,,0.3910482921083628,0.3975,0.3707201889020071
qwen,,,0.36941176470588233,0.45443499392466585,0.43137254901960786
