metric,model,n_samples,point_estimate,ci_lower,ci_upper
full_pass_rate,human,994,0.7525150905432596,0.7253521126760564,0.778672032193159
mean_pass_rate,human,994,0.8296802396748408,0.8082641816177114,0.8501496373403659
full_pass_rate,qwen,1379,0.1493836113125453,0.1312545322697607,0.1682378535170413
mean_pass_rate,qwen,1379,0.3765857087367028,0.3576298379694148,0.3955271713001062
full_pass_rate,gemma,1206,0.2230514096185738,0.1998341625207297,0.2462686567164179
mean_pass_rate,gemma,1206,0.4674998374470205,0.4457725280292273,0.4886839386237652
full_pass_rate,llama,1382,0.2091172214182344,0.1881331403762662,0.2315484804630969
mean_pass_rate,llama,1382,0.4251083920725282,0.4052104794753529,0.4457557388582071
