tag,mean_pass_rate,n
constructive algorithms,0.19271434994714942,67
geometry,0.24438977016831687,17
dfs and similar,0.2679640158899982,38
graphs,0.272623313084711,50
binary search,0.29307485476607725,51
games,0.29381745506745505,11
trees,0.2981958296836014,32
dp,0.334217023354788,90
shortest paths,0.34171417086074757,12
dsu,0.3485157304406646,17
divide and conquer,0.35416666666666663,13
data structures,0.3631433198661182,64
combinatorics,0.37452347531547914,18
number theory,0.3773558655407289,27
math,0.393720534206169,102
greedy,0.40696056114304535,107
brute force,0.4365120106437998,84
sortings,0.441399225647019,48
two pointers,0.44700827528555737,21
bitmasks,0.4512727321076732,24
implementation,0.5093903362409999,137
strings,0.554521984270999,33
