tag,mean_pass_rate,n
constructive algorithms,0.2382988153687967,63
geometry,0.38576423576423574,13
graphs,0.40247235769966017,35
dfs and similar,0.40427723493479617,22
binary search,0.40490042672266097,48
trees,0.44618648971876085,23
greedy,0.4475032704394568,88
dp,0.45359477332639453,75
divide and conquer,0.49756944444444445,12
number theory,0.5103296556024642,24
bitmasks,0.5177729435333367,23
math,0.5229606461673301,99
sortings,0.5260339584037386,45
combinatorics,0.5356213238182799,18
brute force,0.5689683131068167,74
dsu,0.5710920215770963,13
data structures,0.5716303932505888,60
two pointers,0.5874960006012668,22
implementation,0.5877642588988065,130
strings,0.6188824061195939,31
