Model,Status,N,Triggered,Rate (%)
gemma,Passing,269,10,3.7
gemma,Failing,937,163,17.4
llama,Passing,289,2,0.7
llama,Failing,1093,215,19.7
qwen,Passing,206,2,1.0
qwen,Failing,1173,222,18.9
human,Passing,748,27,3.6
human,Failing,246,16,6.5
