metric,model,point_estimate,ci_lower,ci_upper,p_value,significant_95
full_pass_diff_human_minus_ai,human - qwen,0.6031314792307143,0.5706363817422301,0.6362150057706646,0.0,True
mean_rate_diff_human_minus_ai,human - qwen,0.453094530938138,0.4254629045484421,0.4816792663467144,0.0,True
full_pass_diff_human_minus_ai,human - gemma,0.5294636809246858,0.4933011418427647,0.5646329469353435,0.0,True
mean_rate_diff_human_minus_ai,human - gemma,0.3621804022278203,0.3315712542840374,0.3921452771844383,0.0,True
full_pass_diff_human_minus_ai,human - llama,0.5433978691250252,0.508891955204454,0.5783974469101149,0.0,True
mean_rate_diff_human_minus_ai,human - llama,0.4045718476023126,0.3749197753023733,0.4337206764814245,0.0,True
