tag,mean_pass_rate,n
dsu,0.32124329379173583,27
*special,0.33220302025146065,36
dfs and similar,0.36008068667182674,49
graphs,0.3823025667217149,97
interactive,0.3897271867610714,16
number theory,0.3974537200609516,47
geometry,0.40096384426755105,16
matrices,0.4012307564594032,13
games,0.4024089340947885,30
math,0.4034888124000229,226
shortest paths,0.4193052799823633,12
brute force,0.4226864271933498,191
constructive algorithms,0.42605954382707484,155
greedy,0.42654447050800837,233
two pointers,0.4380724095153066,34
implementation,0.43862753472453114,264
strings,0.4409339716084923,59
binary search,0.44332044905981477,89
bitmasks,0.4543917192945554,42
trees,0.45552851303505576,37
data structures,0.46758844830864904,150
sortings,0.4698238069119101,120
dp,0.47676987694018924,147
combinatorics,0.5277394305074019,33
fft,0.5370671937414019,13
divide and conquer,0.5465164356340827,15
probabilities,0.5517009128634295,32
