tag,model,generation,fail,pass,total,pass_pct,fail_pct
geometry,human,soln1,9.0,11.0,20.0,55.0,45.0
geometry,human,soln2,10.0,10.0,20.0,50.0,50.0
geometry,llama,gen_1,20.0,0.0,20.0,0.0,100.0
geometry,llama,gen_2,17.0,0.0,17.0,0.0,100.0
geometry,llama,gen_3,20.0,0.0,20.0,0.0,100.0
geometry,qwen,gen_1,20.0,0.0,20.0,0.0,100.0
geometry,qwen,gen_2,20.0,0.0,20.0,0.0,100.0
geometry,qwen,gen_3,19.0,0.0,19.0,0.0,100.0
graph matchings,gemma,gen_1,3.0,2.0,5.0,40.0,60.0
graph matchings,gemma,gen_2,1.0,2.0,3.0,66.7,33.3
graph matchings,gemma,gen_3,4.0,2.0,6.0,33.3,66.7
graph matchings,human,soln1,1.0,5.0,6.0,83.3,16.7
graph matchings,human,soln2,2.0,4.0,6.0,66.7,33.3
graph matchings,llama,gen_1,5.0,1.0,6.0,16.7,83.3
graph matchings,llama,gen_2,4.0,1.0,5.0,20.0,80.0
graph matchings,llama,gen_3,4.0,2.0,6.0,33.3,66.7
graph matchings,qwen,gen_1,5.0,1.0,6.0,16.7,83.3
graph matchings,qwen,gen_2,5.0,1.0,6.0,16.7,83.3
graph matchings,qwen,gen_3,3.0,2.0,5.0,40.0,60.0
graphs,gemma,gen_1,49.0,5.0,54.0,9.3,90.7
graphs,gemma,gen_2,48.0,5.0,53.0,9.4,90.6
graphs,gemma,gen_3,46.0,7.0,53.0,13.2,86.8
graphs,human,soln1,29.0,36.0,65.0,55.4,44.6
graphs,human,soln2,27.0,38.0,65.0,58.5,41.5
graphs,llama,gen_1,62.0,2.0,64.0,3.1,96.9
graphs,llama,gen_2,57.0,1.0,58.0,1.7,98.3
graphs,llama,gen_3,59.0,5.0,64.0,7.8,92.2
graphs,qwen,gen_1,63.0,2.0,65.0,3.1,96.9
graphs,qwen,gen_2,60.0,3.0,63.0,4.8,95.2
graphs,qwen,gen_3,57.0,4.0,61.0,6.6,93.4
greedy,gemma,gen_1,93.0,17.0,110.0,15.5,84.5
greedy,gemma,gen_2,100.0,16.0,116.0,13.8,86.2
greedy,gemma,gen_3,95.0,15.0,110.0,13.6,86.4
greedy,human,soln1,40.0,94.0,134.0,70.1,29.9
greedy,human,soln2,42.0,91.0,133.0,68.4,31.6
greedy,llama,gen_1,114.0,20.0,134.0,14.9,85.1
greedy,llama,gen_2,109.0,19.0,128.0,14.8,85.2
greedy,llama,gen_3,107.0,25.0,132.0,18.9,81.1
greedy,qwen,gen_1,124.0,10.0,134.0,7.5,92.5
greedy,qwen,gen_2,117.0,8.0,125.0,6.4,93.6
greedy,qwen,gen_3,106.0,17.0,123.0,13.8,86.2
hashing,gemma,gen_1,3.0,1.0,4.0,25.0,75.0
hashing,gemma,gen_2,2.0,1.0,3.0,33.3,66.7
hashing,gemma,gen_3,2.0,1.0,3.0,33.3,66.7
hashing,human,soln1,1.0,4.0,5.0,80.0,20.0
hashing,human,soln2,1.0,4.0,5.0,80.0,20.0
hashing,llama,gen_1,4.0,1.0,5.0,20.0,80.0
hashing,llama,gen_2,3.0,2.0,5.0,40.0,60.0
hashing,llama,gen_3,4.0,1.0,5.0,20.0,80.0
hashing,qwen,gen_1,4.0,1.0,5.0,20.0,80.0
hashing,qwen,gen_2,4.0,0.0,4.0,0.0,100.0
hashing,qwen,gen_3,4.0,1.0,5.0,20.0,80.0
implementation,gemma,gen_1,100.0,46.0,146.0,31.5,68.5
implementation,gemma,gen_2,97.0,43.0,140.0,30.7,69.3
implementation,gemma,gen_3,94.0,48.0,142.0,33.8,66.2
implementation,human,soln1,37.0,121.0,158.0,76.6,23.4
implementation,human,soln2,36.0,121.0,157.0,77.1,22.9
implementation,llama,gen_1,114.0,44.0,158.0,27.8,72.2
implementation,llama,gen_2,104.0,47.0,151.0,31.1,68.9
implementation,llama,gen_3,111.0,46.0,157.0,29.3,70.7
implementation,qwen,gen_1,122.0,36.0,158.0,22.8,77.2
implementation,qwen,gen_2,113.0,39.0,152.0,25.7,74.3
implementation,qwen,gen_3,111.0,41.0,152.0,27.0,73.0
interactive,gemma,gen_1,8.0,0.0,8.0,0.0,100.0
interactive,gemma,gen_2,8.0,0.0,8.0,0.0,100.0
interactive,gemma,gen_3,7.0,0.0,7.0,0.0,100.0
interactive,human,soln1,9.0,0.0,9.0,0.0,100.0
interactive,human,soln2,9.0,0.0,9.0,0.0,100.0
interactive,llama,gen_1,9.0,0.0,9.0,0.0,100.0
interactive,llama,gen_2,9.0,0.0,9.0,0.0,100.0
interactive,llama,gen_3,9.0,0.0,9.0,0.0,100.0
interactive,qwen,gen_1,9.0,0.0,9.0,0.0,100.0
interactive,qwen,gen_2,9.0,0.0,9.0,0.0,100.0
interactive,qwen,gen_3,9.0,0.0,9.0,0.0,100.0
math,gemma,gen_1,85.0,24.0,109.0,22.0,78.0
math,gemma,gen_2,89.0,21.0,110.0,19.1,80.9
math,gemma,gen_3,87.0,27.0,114.0,23.7,76.3
math,human,soln1,32.0,92.0,124.0,74.2,25.8
math,human,soln2,26.0,97.0,123.0,78.9,21.1
math,llama,gen_1,102.0,22.0,124.0,17.7,82.3
math,llama,gen_2,92.0,18.0,110.0,16.4,83.6
math,llama,gen_3,103.0,21.0,124.0,16.9,83.1
math,qwen,gen_1,111.0,13.0,124.0,10.5,89.5
math,qwen,gen_2,105.0,14.0,119.0,11.8,88.2
math,qwen,gen_3,104.0,17.0,121.0,14.0,86.0
matrices,gemma,gen_1,6.0,1.0,7.0,14.3,85.7
matrices,gemma,gen_2,4.0,0.0,4.0,0.0,100.0
matrices,gemma,gen_3,6.0,1.0,7.0,14.3,85.7
matrices,human,soln1,2.0,5.0,7.0,71.4,28.6
matrices,human,soln2,1.0,6.0,7.0,85.7,14.3
matrices,llama,gen_1,7.0,0.0,7.0,0.0,100.0
matrices,llama,gen_2,7.0,0.0,7.0,0.0,100.0
matrices,llama,gen_3,7.0,0.0,7.0,0.0,100.0
matrices,qwen,gen_1,7.0,0.0,7.0,0.0,100.0
matrices,qwen,gen_2,7.0,0.0,7.0,0.0,100.0
matrices,qwen,gen_3,7.0,0.0,7.0,0.0,100.0
meet-in-the-middle,gemma,gen_1,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,gemma,gen_2,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,gemma,gen_3,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,human,soln1,0.0,1.0,1.0,100.0,0.0
meet-in-the-middle,human,soln2,0.0,1.0,1.0,100.0,0.0
meet-in-the-middle,llama,gen_1,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,llama,gen_2,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,llama,gen_3,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,qwen,gen_1,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,qwen,gen_2,1.0,0.0,1.0,0.0,100.0
meet-in-the-middle,qwen,gen_3,1.0,0.0,1.0,0.0,100.0
number theory,gemma,gen_1,25.0,4.0,29.0,13.8,86.2
number theory,gemma,gen_2,26.0,3.0,29.0,10.3,89.7
number theory,gemma,gen_3,24.0,5.0,29.0,17.2,82.8
number theory,human,soln1,13.0,20.0,33.0,60.6,39.4
number theory,human,soln2,12.0,21.0,33.0,63.6,36.4
number theory,llama,gen_1,30.0,3.0,33.0,9.1,90.9
number theory,llama,gen_2,26.0,2.0,28.0,7.1,92.9
number theory,llama,gen_3,29.0,4.0,33.0,12.1,87.9
number theory,qwen,gen_1,29.0,4.0,33.0,12.1,87.9
number theory,qwen,gen_2,29.0,3.0,32.0,9.4,90.6
number theory,qwen,gen_3,29.0,2.0,31.0,6.5,93.5
probabilities,gemma,gen_1,10.0,1.0,11.0,9.1,90.9
probabilities,gemma,gen_2,9.0,1.0,10.0,10.0,90.0
probabilities,gemma,gen_3,9.0,1.0,10.0,10.0,90.0
probabilities,human,soln1,10.0,4.0,14.0,28.6,71.4
probabilities,human,soln2,8.0,6.0,14.0,42.9,57.1
probabilities,llama,gen_1,14.0,0.0,14.0,0.0,100.0
probabilities,llama,gen_2,12.0,1.0,13.0,7.7,92.3
probabilities,llama,gen_3,13.0,1.0,14.0,7.1,92.9
probabilities,qwen,gen_1,14.0,0.0,14.0,0.0,100.0
probabilities,qwen,gen_2,12.0,1.0,13.0,7.7,92.3
probabilities,qwen,gen_3,14.0,0.0,14.0,0.0,100.0
shortest paths,gemma,gen_1,11.0,1.0,12.0,8.3,91.7
shortest paths,gemma,gen_2,12.0,0.0,12.0,0.0,100.0
shortest paths,gemma,gen_3,11.0,2.0,13.0,15.4,84.6
shortest paths,human,soln1,3.0,11.0,14.0,78.6,21.4
shortest paths,human,soln2,5.0,9.0,14.0,64.3,35.7
shortest paths,llama,gen_1,12.0,2.0,14.0,14.3,85.7
shortest paths,llama,gen_2,10.0,2.0,12.0,16.7,83.3
shortest paths,llama,gen_3,13.0,1.0,14.0,7.1,92.9
shortest paths,qwen,gen_1,14.0,0.0,14.0,0.0,100.0
shortest paths,qwen,gen_2,11.0,2.0,13.0,15.4,84.6
shortest paths,qwen,gen_3,13.0,1.0,14.0,7.1,92.9
sortings,gemma,gen_1,40.0,14.0,54.0,25.9,74.1
sortings,gemma,gen_2,42.0,11.0,53.0,20.8,79.2
sortings,gemma,gen_3,41.0,14.0,55.0,25.5,74.5
sortings,human,soln1,16.0,45.0,61.0,73.8,26.2
sortings,human,soln2,15.0,46.0,61.0,75.4,24.6
sortings,llama,gen_1,44.0,17.0,61.0,27.9,72.1
sortings,llama,gen_2,40.0,17.0,57.0,29.8,70.2
sortings,llama,gen_3,43.0,17.0,60.0,28.3,71.7
sortings,qwen,gen_1,51.0,10.0,61.0,16.4,83.6
sortings,qwen,gen_2,49.0,12.0,61.0,19.7,80.3
sortings,qwen,gen_3,47.0,12.0,59.0,20.3,79.7
string suffix structures,gemma,gen_1,3.0,1.0,4.0,25.0,75.0
