subset,model,n_samples,point_estimate,ci_lower,ci_upper
compiled,human,1665,1.365165165165165,1.23003003003003,1.5087237237237237
compiled,qwen,2290,0.6969432314410481,0.6393013100436681,0.7572052401746725
compiled,gemma,2018,1.0594648166501486,0.9722497522299306,1.1486744301288403
compiled,llama,2272,0.6043133802816901,0.5532570422535211,0.6566901408450704
passing,human,748,1.2085561497326205,1.038770053475936,1.3943850267379678
passing,qwen,206,0.529126213592233,0.4126213592233009,0.6650485436893204
passing,gemma,269,0.5799256505576208,0.4721189591078067,0.6951672862453532
passing,llama,289,0.3044982698961938,0.2387543252595155,0.3737024221453287
