model,bugprone,performance,modernize,readability,cppcoreguidelines,cert,analyzer,compiler_warning
human,2.0283185840707967,0.7002949852507374,6.449557522123894,0.0,0.0,0.0,0.4690265486725664,0.4259587020648968
gemma,0.3941018766756032,4.609472743521001,1.4932975871313674,0.0,0.0,0.0,0.13985701519213584,0.18096514745308312
llama,0.5388621794871795,1.3321314102564104,2.6698717948717947,0.0,0.0,0.0,0.09775641025641026,0.3557692307692308
qwen,0.5182804339092005,1.194053836882282,2.566894335074327,0.0,0.0,0.0,0.08396946564885496,0.26235435918039374
