model,gen,tag,compiled_count,total_files,compile_rate,has_tests_count,cppcheck_errors,cppcheck_warnings,cppcheck_cwe_count,clang_warnings,clang_errors
llama,gen_1,divide and conquer,13,15,0.8666666666666667,11,0,0,7,75,6
llama,gen_1,dp,99,114,0.868421052631579,92,0,5,51,561,31
llama,gen_1,dsu,17,21,0.8095238095238095,15,2,1,12,115,13
llama,gen_1,expression parsing,0,1,0.0,0,0,0,0,4,4
llama,gen_1,fft,7,7,1.0,6,0,0,3,30,0
llama,gen_1,flows,5,5,1.0,5,0,0,2,18,0
llama,gen_1,games,12,14,0.8571428571428571,9,0,4,10,68,5
llama,gen_1,geometry,17,20,0.85,15,0,0,10,133,7
llama,gen_1,graph matchings,6,6,1.0,6,1,0,2,27,0
llama,gen_1,graphs,48,64,0.75,44,3,11,45,403,36
llama,gen_1,greedy,127,134,0.9477611940298507,116,4,2,51,547,19
llama,gen_1,hashing,5,5,1.0,5,0,0,1,21,0
llama,gen_1,implementation,154,158,0.9746835443037974,147,2,6,61,659,20
llama,gen_1,interactive,6,9,0.6666666666666666,5,0,2,6,69,8
llama,gen_1,math,120,124,0.967741935483871,110,3,1,43,592,9
llama,gen_1,matrices,6,7,0.8571428571428571,6,2,0,5,39,1
llama,gen_1,meet-in-the-middle,1,1,1.0,1,0,0,0,3,0
llama,gen_1,number theory,31,33,0.9393939393939394,28,1,0,10,158,3
llama,gen_1,probabilities,12,14,0.8571428571428571,12,0,0,4,98,2
llama,gen_1,shortest paths,11,14,0.7857142857142857,10,0,5,7,116,8
llama,gen_1,sortings,56,61,0.9180327868852459,53,1,1,20,249,15
llama,gen_1,string suffix structures,3,5,0.6,3,0,1,2,26,1
llama,gen_1,strings,34,38,0.8947368421052632,33,1,1,16,149,7
llama,gen_1,ternary search,5,6,0.8333333333333334,5,0,0,2,24,5
llama,gen_1,trees,32,40,0.8,32,1,4,21,277,14
llama,gen_1,two pointers,26,28,0.9285714285714286,25,1,0,11,120,2
llama,gen_2,*special,8,8,1.0,8,0,0,3,27,0
llama,gen_2,2-sat,1,2,0.5,1,0,0,1,14,10
llama,gen_2,binary search,47,52,0.9038461538461539,45,1,0,18,204,16
llama,gen_2,bitmasks,25,26,0.9615384615384616,24,1,0,7,114,2
llama,gen_2,brute force,84,89,0.9438202247191011,82,1,1,31,399,28
llama,gen_2,chinese remainder theorem,1,2,0.5,1,0,0,1,13,1
llama,gen_2,combinatorics,24,27,0.8888888888888888,21,0,0,4,100,5
llama,gen_2,constructive algorithms,76,79,0.9620253164556962,73,2,4,33,405,3
llama,gen_2,data structures,62,73,0.8493150684931506,56,4,3,31,337,31
llama,gen_2,dfs and similar,38,45,0.8444444444444444,35,3,1,23,270,16
llama,gen_2,divide and conquer,12,15,0.8,11,1,0,5,70,3
llama,gen_2,dp,90,103,0.8737864077669902,85,10,1,35,496,30
llama,gen_2,dsu,15,19,0.7894736842105263,14,3,0,12,137,21
llama,gen_2,expression parsing,1,1,1.0,1,0,0,0,1,0
llama,gen_2,fft,7,7,1.0,6,0,0,2,29,0
llama,gen_2,flows,5,5,1.0,5,0,0,3,32,0
llama,gen_2,games,10,11,0.9090909090909091,8,1,0,4,52,1
llama,gen_2,geometry,15,17,0.8823529411764706,14,0,0,10,142,16
llama,gen_2,graph matchings,5,5,1.0,5,0,0,2,26,0
llama,gen_2,graphs,44,58,0.7586206896551724,43,5,5,35,344,39
llama,gen_2,greedy,122,128,0.953125,111,9,7,46,541,30
llama,gen_2,hashing,4,5,0.8,4,0,0,2,20,3
llama,gen_2,implementation,143,151,0.9470198675496688,136,3,5,48,574,27
llama,gen_2,interactive,8,9,0.8888888888888888,7,1,0,4,58,6
llama,gen_2,math,108,110,0.9818181818181818,101,2,1,35,492,9
llama,gen_2,matrices,6,7,0.8571428571428571,6,0,0,7,42,2
llama,gen_2,meet-in-the-middle,1,1,1.0,1,0,0,0,7,0
llama,gen_2,number theory,24,28,0.8571428571428571,23,5,0,8,134,14
llama,gen_2,probabilities,10,13,0.7692307692307693,10,1,0,8,88,7
llama,gen_2,shortest paths,10,12,0.8333333333333334,10,2,4,9,89,9
llama,gen_2,sortings,52,57,0.9122807017543859,50,0,0,24,239,9
llama,gen_2,string suffix structures,5,5,1.0,5,0,0,2,23,0
llama,gen_2,strings,36,38,0.9473684210526315,35,0,1,17,132,3
llama,gen_2,ternary search,6,6,1.0,6,0,0,2,35,0
llama,gen_2,trees,26,36,0.7222222222222222,26,4,0,22,251,42
llama,gen_2,two pointers,21,24,0.875,20,0,0,6,103,7
llama,gen_3,*special,7,8,0.875,7,1,0,1,51,6
llama,gen_3,2-sat,1,2,0.5,1,0,0,1,10,9
llama,gen_3,binary search,54,57,0.9473684210526315,51,0,0,17,239,15
llama,gen_3,bitmasks,26,27,0.9629629629629629,24,0,1,9,139,2
llama,gen_3,brute force,86,94,0.9148936170212766,83,1,1,35,403,19
llama,gen_3,chinese remainder theorem,2,2,1.0,2,0,0,0,4,0
llama,gen_3,combinatorics,25,26,0.9615384615384616,21,0,0,8,115,2
llama,gen_3,constructive algorithms,82,85,0.9647058823529412,79,1,3,41,465,7
llama,gen_3,data structures,76,80,0.95,69,2,0,30,356,9
llama,gen_3,dfs and similar,42,47,0.8936170212765957,39,2,0,25,263,12
llama,gen_3,divide and conquer,16,16,1.0,14,0,1,8,135,0
llama,gen_3,dp,104,111,0.9369369369369369,96,3,1,33,504,10
llama,gen_3,dsu,21,22,0.9545454545454546,19,0,0,14,122,2
llama,gen_3,expression parsing,1,1,1.0,1,0,0,1,11,0
llama,gen_3,fft,7,7,1.0,6,0,0,2,34,0
llama,gen_3,flows,4,5,0.8,4,0,0,2,23,2
llama,gen_3,games,14,14,1.0,11,1,0,3,71,1
llama,gen_3,geometry,16,20,0.8,14,0,0,10,121,10
llama,gen_3,graph matchings,5,6,0.8333333333333334,5,0,0,5,37,2
llama,gen_3,graphs,59,64,0.921875,55,0,4,33,353,12
llama,gen_3,greedy,125,132,0.946969696969697,113,4,4,41,517,12
llama,gen_3,hashing,5,5,1.0,5,0,0,0,22,0
llama,gen_3,implementation,149,157,0.9490445859872612,141,1,6,64,601,30
llama,gen_3,interactive,8,9,0.8888888888888888,7,0,1,4,118,1
llama,gen_3,math,116,124,0.9354838709677419,108,1,1,33,546,15
llama,gen_3,matrices,7,7,1.0,7,0,0,3,35,0
llama,gen_3,meet-in-the-middle,1,1,1.0,1,0,0,0,4,0
llama,gen_3,number theory,32,33,0.9696969696969697,29,0,1,9,170,1
llama,gen_3,probabilities,12,14,0.8571428571428571,11,1,1,6,117,5
llama,gen_3,shortest paths,11,14,0.7857142857142857,11,0,4,8,102,7
llama,gen_3,sortings,56,60,0.9333333333333333,53,0,0,25,249,8
llama,gen_3,string suffix structures,5,5,1.0,5,0,0,2,19,0
llama,gen_3,strings,36,38,0.9473684210526315,34,1,0,18,154,7
llama,gen_3,ternary search,6,6,1.0,6,0,0,3,26,0
llama,gen_3,trees,36,39,0.9230769230769231,35,0,0,22,269,1
llama,gen_3,two pointers,27,28,0.9642857142857143,26,1,0,9,103,4
qwen,gen_1,*special,8,8,1.0,8,0,0,3,17,0
qwen,gen_1,2-sat,2,2,1.0,2,0,0,1,7,0
qwen,gen_1,binary search,54,57,0.9473684210526315,51,0,0,23,184,4
qwen,gen_1,bitmasks,26,28,0.9285714285714286,24,3,2,11,89,13
qwen,gen_1,brute force,92,94,0.9787234042553191,88,0,1,37,277,12
qwen,gen_1,chinese remainder theorem,2,2,1.0,2,0,0,0,4,0
qwen,gen_1,combinatorics,27,27,1.0,23,0,0,4,103,0
qwen,gen_1,constructive algorithms,83,84,0.9880952380952381,79,1,2,41,290,2
qwen,gen_1,data structures,73,81,0.9012345679012346,67,0,1,33,373,21
qwen,gen_1,dfs and similar,42,48,0.875,38,1,1,24,240,29
qwen,gen_1,divide and conquer,16,16,1.0,14,0,0,3,73,0
