sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_1/00000/0068_p01086_Short_Phrase,gemma,gen_1,p01086_Short_Phrase,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0069_p01222_Walk_under_a_Scorching_Sun,gemma,gen_1,p01222_Walk_under_a_Scorching_Sun,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0073_p01838_Optimal_Tournament,gemma,gen_1,p01838_Optimal_Tournament,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0074_p01974_Pigeonhole_principle,gemma,gen_1,p01974_Pigeonhole_principle,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0075_p02120_Cluster_Network,gemma,gen_1,p02120_Cluster_Network,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0077_p02408_Finding_Missing_Cards,gemma,gen_1,p02408_Finding_Missing_Cards,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0079_1043_A._Elections,gemma,gen_1,1043_A_Elections,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0080_1065_F._Up_and_Down_the_Tree,gemma,gen_1,1065_F_Up_and_Down_the_Tree,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0081_1088_D._Ehab_and_another_another_xor_problem,gemma,gen_1,1088_D_Ehab_and_another_another_xor_problem,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0082_1107_D._Compression,gemma,gen_1,1107_D_Compression,CWE-563,CWE-122,CWE-563,CWE-122,,False
gemma/gen_1/00000/0082_1107_D._Compression.cpp,gemma,gen_1,1107_D_Compression,,CWE-122,,CWE-122,,False
gemma/gen_1/00000/0085_1195_D2._Submarine_in_the_Rybinsk_Sea__hard_edition_,gemma,gen_1,1195_D2_Submarine_in_the_Rybinsk_Sea__hard_edition_,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0087_1253_F._Cheap_Robot,gemma,gen_1,1253_F_Cheap_Robot,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0088_1277_E._Two_Fairs,gemma,gen_1,1277_E_Two_Fairs,CWE-571,,CWE-571,,,False
gemma/gen_1/00000/0090_133_D._Piet,gemma,gen_1,133_D_Piet,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0093_1424_N._BubbleSquare_Tokens,gemma,gen_1,1424_N_BubbleSquare_Tokens,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0095_1470_E._Strange_Permutation,gemma,gen_1,1470_E_Strange_Permutation,CWE-398|CWE-570|CWE-571,,CWE-398|CWE-570|CWE-571,,,False
gemma/gen_1/00000/0097_1547_C._Pair_Programming,gemma,gen_1,1547_C_Pair_Programming,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0100_219_A._k-String,gemma,gen_1,219_A_k-String,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0101_242_C._King_s_Path,gemma,gen_1,242_C_King_s_Path,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0104_361_C._Levko_and_Array_Recovery,gemma,gen_1,361_C_Levko_and_Array_Recovery,CWE-398|CWE-457,,CWE-398|CWE-457,,,False
gemma/gen_1/00000/0106_405_E._Graph_Cutting,gemma,gen_1,405_E_Graph_Cutting,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0110_500_C._New_Year_Book_Reading,gemma,gen_1,500_C_New_Year_Book_Reading,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0111_526_A._King_of_Thieves,gemma,gen_1,526_A_King_of_Thieves,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0112_551_B._ZgukistringZ,gemma,gen_1,551_B_ZgukistringZ,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_1/00000/0112_551_B._ZgukistringZ.cpp,gemma,gen_1,551_B_ZgukistringZ,,CWE-190,,CWE-190,,False
gemma/gen_1/00000/0113_578_C._Weakness_and_Poorness,gemma,gen_1,578_C_Weakness_and_Poorness,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0114_5_A._Chat_Server_s_Outgoing_Traffic,gemma,gen_1,5_A_Chat_Server_s_Outgoing_Traffic,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0115_621_D._Rat_Kwesh_and_Cheese,gemma,gen_1,621_D_Rat_Kwesh_and_Cheese,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0118_716_D._Complete_The_Graph,gemma,gen_1,716_D_Complete_The_Graph,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0119_760_F._Bacterial_Melee,gemma,gen_1,760_F_Bacterial_Melee,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0120_784_B._Kids__Riddle,gemma,gen_1,784_B_Kids__Riddle,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0124_875_D._High_Cry,gemma,gen_1,875_D_High_Cry,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0126_920_E._Connected_Components_,gemma,gen_1,920_E_Connected_Components_,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0129_996_F._Game,gemma,gen_1,996_F_Game,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0131_p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,gemma,gen_1,p02781_AtCoder_Beginner_Contest_154_-_Almost_Everywhere_Zero,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0133_p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,gemma,gen_1,p03194_CADDi_2018_for_Beginners_-_Product_and_GCD,CWE-570,,CWE-570,,,False
gemma/gen_1/00000/0134_p03343_AtCoder_Regular_Contest_098_-_Range_Minimum_Queries,gemma,gen_1,p03343_AtCoder_Regular_Contest_098_-_Range_Minimum_Queries,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0135_p03503_AtCoder_Beginner_Contest_080_-_Shopping_Street,gemma,gen_1,p03503_AtCoder_Beginner_Contest_080_-_Shopping_Street,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0140_p00365_Age_Difference,gemma,gen_1,p00365_Age_Difference,CWE-398|CWE-563|CWE-570|CWE-571,,CWE-398|CWE-563|CWE-570|CWE-571,,,False
gemma/gen_1/00000/0141_p00573_Commuter_Pass,gemma,gen_1,p00573_Commuter_Pass,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0142_p00720_Earth_Observation_with_a_Mobile_Robot_Team,gemma,gen_1,p00720_Earth_Observation_with_a_Mobile_Robot_Team,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0144_p00991_Grid,gemma,gen_1,p00991_Grid,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0145_p01123_Let_s_Move_Tiles_,gemma,gen_1,p01123_Let_s_Move_Tiles_,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0146_p01262_Adaptive_Time_Slicing_Quantization,gemma,gen_1,p01262_Adaptive_Time_Slicing_Quantization,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_1/00000/0147_p01576_Exciting_Bicycle,gemma,gen_1,p01576_Exciting_Bicycle,CWE-563,,CWE-563,,,False
gemma/gen_1/00000/0149_p02157_Shuffle_2,gemma,gen_1,p02157_Shuffle_2,CWE-570,,CWE-570,,,False
gemma/gen_1/00000/0151_1012_B._Chemical_table,gemma,gen_1,1012_B_Chemical_table,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0152_1081_D._Maximum_Distance,gemma,gen_1,1081_D_Maximum_Distance,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0153_1100_D._Dasha_and_Chess,gemma,gen_1,1100_D_Dasha_and_Chess,CWE-398,,CWE-398,,,False
gemma/gen_1/00000/0155_1208_A._XORinacci,gemma,gen_1,1208_A_XORinacci,CWE-457,,CWE-457,,,False
gemma/gen_1/00000/0157_124_D._Squares,gemma,gen_1,124_D_Squares,CWE-398|CWE-563,CWE-476,CWE-398|CWE-563,CWE-476,,False
gemma/gen_1/00000/0157_124_D._Squares.cpp,gemma,gen_1,124_D_Squares,,CWE-476,,CWE-476,,False
