sample_id,model,generation,problem_key,cppcheck_cwes,sanitizer_cwes,cppcheck_only,sanitizer_only,both,static_confirmed_dynamically
gemma/gen_2/00001_2/0056_p01797_Kimagure_Cleaner,gemma,gen_2,p01797_Kimagure_Cleaner,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0058_p02069_Universal_and_Existential_Quantifiers,gemma,gen_2,p02069_Universal_and_Existential_Quantifiers,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0059_p02211_Apple_Adventure,gemma,gen_2,p02211_Apple_Adventure,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0060_p02365_Minimum-Cost_Arborescence,gemma,gen_2,p02365_Minimum-Cost_Arborescence,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0061_1003_D._Coins_and_Queries,gemma,gen_2,1003_D_Coins_and_Queries,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0063_1046_D._Interstellar_battle,gemma,gen_2,1046_D_Interstellar_battle,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0064_1070_C._Cloud_Computing,gemma,gen_2,1070_C_Cloud_Computing,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0066_1110_E._Magic_Stones,gemma,gen_2,1110_E_Magic_Stones,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0068_1158_F._Density_of_subarrays,gemma,gen_2,1158_F_Density_of_subarrays,CWE-398|CWE-563,CWE-190,CWE-398|CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0068_1158_F._Density_of_subarrays.cpp,gemma,gen_2,1158_F_Density_of_subarrays,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0072_1257_G._Divisor_Set,gemma,gen_2,1257_G_Divisor_Set,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0077_1366_A._Shovels_and_Swords,gemma,gen_2,1366_A_Shovels_and_Swords,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0079_1428_D._Bouncing_Boomerangs,gemma,gen_2,1428_D_Bouncing_Boomerangs,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0083_157_A._Game_Outcome,gemma,gen_2,157_A_Game_Outcome,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0086_223_C._Partial_Sums,gemma,gen_2,223_C_Partial_Sums,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0086_223_C._Partial_Sums.cpp,gemma,gen_2,223_C_Partial_Sums,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0087_248_A._Cupboards,gemma,gen_2,248_A_Cupboards,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0088_272_B._Dima_and_Sequence,gemma,gen_2,272_B_Dima_and_Sequence,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0090_319_B._Psychos_in_a_Line,gemma,gen_2,319_B_Psychos_in_a_Line,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0091_343_B._Alternating_Current,gemma,gen_2,343_B_Alternating_Current,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0092_366_D._Dima_and_Trap_Graph,gemma,gen_2,366_D_Dima_and_Trap_Graph,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0093_38_C._Blinds,gemma,gen_2,38_C_Blinds,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0095_438_A._The_Child_and_Toy,gemma,gen_2,438_A_The_Child_and_Toy,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0096_45_H._Road_Problem,gemma,gen_2,45_H_Road_Problem,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0099_556_C._Case_of_Matryoshkas,gemma,gen_2,556_C_Case_of_Matryoshkas,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0100_604_A._Uncowed_Forces,gemma,gen_2,604_A_Uncowed_Forces,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0101_650_B._Image_Preview,gemma,gen_2,650_B_Image_Preview,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0105_789_A._Anastasia_and_pebbles,gemma,gen_2,789_A_Anastasia_and_pebbles,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0108_87_B._Vasya_and_Types,gemma,gen_2,87_B_Vasya_and_Types,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0109_903_D._Almost_Difference,gemma,gen_2,903_D_Almost_Difference,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0110_925_E._May_Holidays,gemma,gen_2,925_E_May_Holidays,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0112_980_E._The_Number_Games,gemma,gen_2,980_E_The_Number_Games,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_2/00001_2/0112_980_E._The_Number_Games.cpp,gemma,gen_2,980_E_The_Number_Games,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0113_9_E._Interesting_Graph_and_Apples,gemma,gen_2,9_E_Interesting_Graph_and_Apples,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0116_p02807_Dwango_Programming_Contest_6th_-_Fusing_Slimes,gemma,gen_2,p02807_Dwango_Programming_Contest_6th_-_Fusing_Slimes,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0125_p00395_Maze_and_Items,gemma,gen_2,p00395_Maze_and_Items,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0127_p00748_Pollock_s_conjecture,gemma,gen_2,p00748_Pollock_s_conjecture,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0128_p00886_Towns_along_a_Highway,gemma,gen_2,p00886_Towns_along_a_Highway,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0132_p01458_Kth_Sentence,gemma,gen_2,p01458_Kth_Sentence,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0133_p01609_One,gemma,gen_2,p01609_One,CWE-563|CWE-571,,CWE-563|CWE-571,,,False
gemma/gen_2/00001_2/0136_p02042_ABSum,gemma,gen_2,p02042_ABSum,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0137_p02185_Many_Decimal_Integers,gemma,gen_2,p02185_Many_Decimal_Integers,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0139_p02472_Addition_of_Big_Integers,gemma,gen_2,p02472_Addition_of_Big_Integers,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0140_1011_A._Stages,gemma,gen_2,1011_A_Stages,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0141_1036_B._Diagonal_Walking_v.2,gemma,gen_2,1036_B_Diagonal_Walking_v2,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0145_1121_A._Technogoblet_of_Fire,gemma,gen_2,1121_A_Technogoblet_of_Fire,CWE-563|CWE-571,CWE-122,CWE-563|CWE-571,CWE-122,,False
gemma/gen_2/00001_2/0145_1121_A._Technogoblet_of_Fire.cpp,gemma,gen_2,1121_A_Technogoblet_of_Fire,,CWE-122,,CWE-122,,False
gemma/gen_2/00001_2/0146_1148_C._Crazy_Diamond,gemma,gen_2,1148_C_Crazy_Diamond,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0147_1169_E._And_Reachability,gemma,gen_2,1169_E_And_Reachability,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0148_1187_G._Gang_Up,gemma,gen_2,1187_G_Gang_Up,CWE-398|CWE-563,CWE-190,CWE-398|CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0148_1187_G._Gang_Up.cpp,gemma,gen_2,1187_G_Gang_Up,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0150_1225_B1._TV_Subscriptions__Easy_Version_,gemma,gen_2,1225_B1_TV_Subscriptions__Easy_Version_,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0151_1249_D1._Too_Many_Segments__easy_version_,gemma,gen_2,1249_D1_Too_Many_Segments__easy_version_,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0152_1267_L._Lexicography,gemma,gen_2,1267_L_Lexicography,CWE-563|CWE-570,,CWE-563|CWE-570,,,False
gemma/gen_2/00001_2/0153_1290_A._Mind_Control,gemma,gen_2,1290_A_Mind_Control,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0154_1332_G._No_Monotone_Triples,gemma,gen_2,1332_G_No_Monotone_Triples,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0155_1353_C._Board_Moves,gemma,gen_2,1353_C_Board_Moves,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0159_148_B._Escape,gemma,gen_2,148_B_Escape,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0160_1539_D._PriceFixed,gemma,gen_2,1539_D_PriceFixed,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0163_207_D9._The_Beaver_s_Problem_-_3,gemma,gen_2,207_D9_The_Beaver_s_Problem_-_3,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0168_331_A2._Oh_Sweet_Beaverette,gemma,gen_2,331_A2_Oh_Sweet_Beaverette,CWE-571,,CWE-571,,,False
gemma/gen_2/00001_2/0169_352_E._Jeff_and_Brackets,gemma,gen_2,352_E_Jeff_and_Brackets,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0169_352_E._Jeff_and_Brackets.cpp,gemma,gen_2,352_E_Jeff_and_Brackets,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0171_421_D._Bug_in_Code,gemma,gen_2,421_D_Bug_in_Code,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0172_448_B._Suffix_Structures,gemma,gen_2,448_B_Suffix_Structures,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0173_46_C._Hamsters_and_Tigers,gemma,gen_2,46_C_Hamsters_and_Tigers,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0176_543_C._Remembering_Strings,gemma,gen_2,543_C_Remembering_Strings,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0176_543_C._Remembering_Strings.cpp,gemma,gen_2,543_C_Remembering_Strings,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0177_56_E._Domino_Principle,gemma,gen_2,56_E_Domino_Principle,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0181_685_D._Kay_and_Eternity,gemma,gen_2,685_D_Kay_and_Eternity,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0182_708_C._Centroids,gemma,gen_2,708_C_Centroids,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0184_799_D._Field_expansion,gemma,gen_2,799_D_Field_expansion,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0184_799_D._Field_expansion.cpp,gemma,gen_2,799_D_Field_expansion,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0186_865_D._Buy_Low_Sell_High,gemma,gen_2,865_D_Buy_Low_Sell_High,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0186_865_D._Buy_Low_Sell_High.cpp,gemma,gen_2,865_D_Buy_Low_Sell_High,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0187_913_G._Power_Substring,gemma,gen_2,913_G_Power_Substring,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0187_913_G._Power_Substring.cpp,gemma,gen_2,913_G_Power_Substring,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0188_936_A._Save_Energy_,gemma,gen_2,936_A_Save_Energy_,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0192_p02868_NIKKEI_Programming_Contest_2019-2_-_Shortest_Path_on_a_Line,gemma,gen_2,p02868_NIKKEI_Programming_Contest_2019-2_-_Shortest_Path_on_a_Line,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0194_p03143_NIKKEI_Programming_Contest_2019_-_Weights_on_Vertices_and_Edges,gemma,gen_2,p03143_NIKKEI_Programming_Contest_2019_-_Weights_on_Vertices_and_Edges,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0199_p00025_Hit_and_Blow,gemma,gen_2,p00025_Hit_and_Blow,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0201_p00313_Secret_Investigation,gemma,gen_2,p00313_Secret_Investigation,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0204_p00812_Equals_are_Equals,gemma,gen_2,p00812_Equals_are_Equals,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0205_p00943_Routing_a_Marathon_Race,gemma,gen_2,p00943_Routing_a_Marathon_Race,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0206_p01076_Graph_Making,gemma,gen_2,p01076_Graph_Making,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0207_p01210_Speed,gemma,gen_2,p01210_Speed,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0208_p01346_Ropeway,gemma,gen_2,p01346_Ropeway,CWE-398|CWE-563|CWE-571,,CWE-398|CWE-563|CWE-571,,,False
gemma/gen_2/00001_2/0210_p01684_Venn_Diagram,gemma,gen_2,p01684_Venn_Diagram,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0212_p01963_Separate_String,gemma,gen_2,p01963_Separate_String,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0216_1016_C._Vasya_And_The_Mushrooms,gemma,gen_2,1016_C_Vasya_And_The_Mushrooms,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0218_1062_D._Fun_with_Integers,gemma,gen_2,1062_D_Fun_with_Integers,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0219_1084_C._The_Fair_Nut_and_String,gemma,gen_2,1084_C_The_Fair_Nut_and_String,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_2/00001_2/0219_1084_C._The_Fair_Nut_and_String.cpp,gemma,gen_2,1084_C_The_Fair_Nut_and_String,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0221_1131_E._String_Multiplication,gemma,gen_2,1131_E_String_Multiplication,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0223_1191_C._Tokitsukaze_and_Discard_Items,gemma,gen_2,1191_C_Tokitsukaze_and_Discard_Items,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0224_120_C._Winnie-the-Pooh_and_honey,gemma,gen_2,120_C_Winnie-the-Pooh_and_honey,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0226_1251_E1._Voting__Easy_Version_,gemma,gen_2,1251_E1_Voting__Easy_Version_,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0229_1315_D._Recommendations,gemma,gen_2,1315_D_Recommendations,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_2/00001_2/0229_1315_D._Recommendations.cpp,gemma,gen_2,1315_D_Recommendations,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0230_1336_F._Journey,gemma,gen_2,1336_F_Journey,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0231_1359_D._Yet_Another_Yet_Another_Task,gemma,gen_2,1359_D_Yet_Another_Yet_Another_Task,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0233_139_D._Digits_Permutations,gemma,gen_2,139_D_Digits_Permutations,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0234_1423_H._Virus,gemma,gen_2,1423_H_Virus,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0236_1468_J._Road_Reform,gemma,gen_2,1468_J_Road_Reform,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0237_1493_C._K-beautiful_Strings,gemma,gen_2,1493_C_K-beautiful_Strings,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0239_1543_B._Customising_the_Track,gemma,gen_2,1543_B_Customising_the_Track,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00001_2/0241_191_A._Dynasty_Puzzles,gemma,gen_2,191_A_Dynasty_Puzzles,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0241_191_A._Dynasty_Puzzles.cpp,gemma,gen_2,191_A_Dynasty_Puzzles,,CWE-190,,CWE-190,,False
gemma/gen_2/00001_2/0247_358_B._Dima_and_Text_Messages,gemma,gen_2,358_B_Dima_and_Text_Messages,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0250_42_A._Guilty___to_the_kitchen_,gemma,gen_2,42_A_Guilty___to_the_kitchen_,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0254_521_C._Pluses_everywhere,gemma,gen_2,521_C_Pluses_everywhere,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0255_548_E._Mike_and_Foam,gemma,gen_2,548_E_Mike_and_Foam,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0257_618_B._Guess_the_Permutation,gemma,gen_2,618_B_Guess_the_Permutation,CWE-563,,CWE-563,,,False
gemma/gen_2/00001_2/0259_666_B._World_Tour,gemma,gen_2,666_B_World_Tour,CWE-398,,CWE-398,,,False
gemma/gen_2/00001_2/0261_712_D._Memory_and_Scores,gemma,gen_2,712_D_Memory_and_Scores,CWE-398|CWE-563|CWE-570,CWE-122|CWE-190|CWE-476,CWE-398|CWE-563|CWE-570,CWE-122|CWE-190|CWE-476,,False
gemma/gen_2/00001_2/0261_712_D._Memory_and_Scores.cpp,gemma,gen_2,712_D_Memory_and_Scores,,CWE-122|CWE-190|CWE-476,,CWE-122|CWE-190|CWE-476,,False
gemma/gen_2/00001_2/0262_757_D._Felicity_s_Big_Secret_Revealed,gemma,gen_2,757_D_Felicity_s_Big_Secret_Revealed,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0000_825_E._Minimal_Labels,gemma,gen_2,825_E_Minimal_Labels,CWE-398|CWE-563|CWE-570,,CWE-398|CWE-563|CWE-570,,,False
gemma/gen_2/00002_2/0001_848_C._Goodbye_Souvenir,gemma,gen_2,848_C_Goodbye_Souvenir,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0002_870_A._Search_for_Pretty_Integers,gemma,gen_2,870_A_Search_for_Pretty_Integers,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0003_896_E._Welcome_home__Chtholly,gemma,gen_2,896_E_Welcome_home__Chtholly,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0004_918_A._Eleven,gemma,gen_2,918_A_Eleven,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0005_940_A._Points_on_the_line,gemma,gen_2,940_A_Points_on_the_line,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0005_940_A._Points_on_the_line.cpp,gemma,gen_2,940_A_Points_on_the_line,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0006_p02630_AtCoder_Beginner_Contest_171_-_Replacing,gemma,gen_2,p02630_AtCoder_Beginner_Contest_171_-_Replacing,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0007_p02761_AtCoder_Beginner_Contest_157_-_Guess_The_Number,gemma,gen_2,p02761_AtCoder_Beginner_Contest_157_-_Guess_The_Number,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0009_p03031_AtCoder_Beginner_Contest_128_-_Switches,gemma,gen_2,p03031_AtCoder_Beginner_Contest_128_-_Switches,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0012_p03474_AtCoder_Beginner_Contest_084_-_Postal_Code,gemma,gen_2,p03474_AtCoder_Beginner_Contest_084_-_Postal_Code,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0014_p03794_Mujin_Programming_Challenge_2017_-_Oriented_Tree,gemma,gen_2,p03794_Mujin_Programming_Challenge_2017_-_Oriented_Tree,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0015_p03963_AtCoder_Beginner_Contest_046_-_Painting_Balls_with_AtCoDeer,gemma,gen_2,p03963_AtCoder_Beginner_Contest_046_-_Painting_Balls_with_AtCoDeer,CWE-197,,CWE-197,,,False
gemma/gen_2/00002_2/0027_p01991_Namo.._Cut,gemma,gen_2,p01991_Namo_Cut,CWE-398|CWE-758,,CWE-398|CWE-758,,,False
gemma/gen_2/00002_2/0029_p02278_Minimum_Cost_Sort,gemma,gen_2,p02278_Minimum_Cost_Sort,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0033_1076_B._Divisor_Subtraction,gemma,gen_2,1076_B_Divisor_Subtraction,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0033_1076_B._Divisor_Subtraction.cpp,gemma,gen_2,1076_B_Divisor_Subtraction,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0034_1097_B._Petr_and_a_Combination_Lock,gemma,gen_2,1097_B_Petr_and_a_Combination_Lock,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0035_1144_F._Graph_Without_Long_Directed_Paths,gemma,gen_2,1144_F_Graph_Without_Long_Directed_Paths,CWE-398|CWE-571,,CWE-398|CWE-571,,,False
gemma/gen_2/00002_2/0037_1184_D1._Parallel_Universes__Easy_,gemma,gen_2,1184_D1_Parallel_Universes__Easy_,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0039_121_C._Lucky_Permutation,gemma,gen_2,121_C_Lucky_Permutation,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0042_1286_A._Garland,gemma,gen_2,1286_A_Garland,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0043_1305_B._Kuroni_and_Simple_Strings,gemma,gen_2,1305_B_Kuroni_and_Simple_Strings,CWE-563,,CWE-563,,,False
gemma/gen_2/00002_2/0044_1329_D._Dreamoon_Likes_Strings,gemma,gen_2,1329_D_Dreamoon_Likes_Strings,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0045_1349_D._Slime_and_Biscuits,gemma,gen_2,1349_D_Slime_and_Biscuits,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0048_1416_D._Graph_and_Queries,gemma,gen_2,1416_D_Graph_and_Queries,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0050_1458_B._Glass_Half_Spilled,gemma,gen_2,1458_B_Glass_Half_Spilled,CWE-398|CWE-563|CWE-570,,CWE-398|CWE-563|CWE-570,,,False
gemma/gen_2/00002_2/0053_1534_D._Lost_Tree,gemma,gen_2,1534_D_Lost_Tree,CWE-563,,CWE-563,,,False
gemma/gen_2/00002_2/0055_204_D._Little_Elephant_and_Retro_Strings,gemma,gen_2,204_D_Little_Elephant_and_Retro_Strings,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0058_278_B._New_Problem,gemma,gen_2,278_B_New_Problem,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0059_300_A._Array,gemma,gen_2,300_A_Array,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0060_325_D._Reclamation,gemma,gen_2,325_D_Reclamation,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0061_348_E._Pilgrims,gemma,gen_2,348_E_Pilgrims,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0063_393_C._Blocked_Points,gemma,gen_2,393_C_Blocked_Points,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0063_393_C._Blocked_Points.cpp,gemma,gen_2,393_C_Blocked_Points,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0064_443_B._Kolya_and_Tandem_Repeat,gemma,gen_2,443_B_Kolya_and_Tandem_Repeat,CWE-563,CWE-190,CWE-563,CWE-190,,False
gemma/gen_2/00002_2/0064_443_B._Kolya_and_Tandem_Repeat.cpp,gemma,gen_2,443_B_Kolya_and_Tandem_Repeat,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0065_465_C._No_to_Palindromes_,gemma,gen_2,465_C_No_to_Palindromes_,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0068_566_C._Logistical_Questions,gemma,gen_2,566_C_Logistical_Questions,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00002_2/0069_587_D._Duff_in_Mafia,gemma,gen_2,587_D_Duff_in_Mafia,CWE-398,CWE-476,CWE-398,CWE-476,,False
gemma/gen_2/00002_2/0069_587_D._Duff_in_Mafia.cpp,gemma,gen_2,587_D_Duff_in_Mafia,,CWE-476,,CWE-476,,False
gemma/gen_2/00002_2/0074_703_C._Chris_and_Road,gemma,gen_2,703_C_Chris_and_Road,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00002_2/0075_747_C._Servers,gemma,gen_2,747_C_Servers,CWE-398|CWE-563,CWE-122,CWE-398|CWE-563,CWE-122,,False
gemma/gen_2/00002_2/0075_747_C._Servers.cpp,gemma,gen_2,747_C_Servers,,CWE-122,,CWE-122,,False
gemma/gen_2/00002_2/0076_76_F._Tourist,gemma,gen_2,76_F_Tourist,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0078_815_B._Karen_and_Test,gemma,gen_2,815_B_Karen_and_Test,CWE-563|CWE-570,,CWE-563|CWE-570,,,False
gemma/gen_2/00002_2/0079_860_C._Tests_Renumeration,gemma,gen_2,860_C_Tests_Renumeration,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0084_p02838_AtCoder_Beginner_Contest_147_-_Xor_Sum_4,gemma,gen_2,p02838_AtCoder_Beginner_Contest_147_-_Xor_Sum_4,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0087_p03258_AtCoder_Grand_Contest_027_-_ABBreviate,gemma,gen_2,p03258_AtCoder_Grand_Contest_027_-_ABBreviate,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0096_p00786_BUT_We_Need_a_Diagram,gemma,gen_2,p00786_BUT_We_Need_a_Diagram,CWE-398|CWE-563,,CWE-398|CWE-563,,,False
gemma/gen_2/00002_2/0097_p00918_Dragon_s_Cruller,gemma,gen_2,p00918_Dragon_s_Cruller,CWE-398|CWE-457,,CWE-398|CWE-457,,,False
gemma/gen_2/00002_2/0098_p01051_Squid_Ink,gemma,gen_2,p01051_Squid_Ink,CWE-398|CWE-457,,CWE-398|CWE-457,,,False
gemma/gen_2/00002_2/0101_p01488_TransferTrain,gemma,gen_2,p01488_TransferTrain,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0105_p02216_Array_Game,gemma,gen_2,p02216_Array_Game,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0107_1000_C._Covered_Points_Count,gemma,gen_2,1000_C_Covered_Points_Count,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0111_110_B._Lucky_String,gemma,gen_2,110_B_Lucky_String,CWE-398,,CWE-398,,,False
gemma/gen_2/00002_2/0115_1215_B._The_Number_of_Products,gemma,gen_2,1215_B_The_Number_of_Products,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0115_1215_B._The_Number_of_Products.cpp,gemma,gen_2,1215_B_The_Number_of_Products,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0119_1323_F._Reality_Show,gemma,gen_2,1323_F_Reality_Show,CWE-398,CWE-190,CWE-398,CWE-190,,False
gemma/gen_2/00002_2/0119_1323_F._Reality_Show.cpp,gemma,gen_2,1323_F_Reality_Show,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0120_1342_E._Placing_Rooks,gemma,gen_2,1342_E_Placing_Rooks,,CWE-190,,CWE-190,,False
gemma/gen_2/00002_2/0120_1342_E._Placing_Rooks.cpp,gemma,gen_2,1342_E_Placing_Rooks,,CWE-190,,CWE-190,,False
